Variation points, Variation point, Configurations, Defective configs., Real prob. defect. configs., Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Combinations, Variant combination, NofFeatures, Configs. combi., Ratio, Defect. configs. combi., Prob. defect. configs. combi., Simulations, Runs, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs.
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "[]", 0, 4, 0.0002, 2, 0.5, 1, 30, 0.0, 0.3667, 0.4901, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin']", 1, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database']", 1, 894, 0.034, 331, 0.3702, 9, 30, 3.5, 3.7, 1.4179, 0.3889
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets']", 1, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Libsass']", 1, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['ClusteredSession']", 1, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['InternationalizationSupport']", 1, 4, 0.0002, 2, 0.5, 1, 30, 0.0, 0.4333, 0.504, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Docker']", 1, 4, 0.0002, 2, 0.5, 1, 30, 0.0, 0.4333, 0.504, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Database']", 2, 220, 0.0084, 42, 0.1909, 3, 30, 0.0, 0.4667, 0.5713, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'SpringWebSockets']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Libsass']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'ClusteredSession']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'InternationalizationSupport']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SocialLogin', 'Docker']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'SpringWebSockets']", 2, 558, 0.0213, 185, 0.3315, 6, 30, 2.0, 2.0667, 1.1427, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Libsass']", 2, 558, 0.0213, 183, 0.328, 6, 30, 3.0, 2.4667, 1.1059, 0.5
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'ClusteredSession']", 2, 558, 0.0213, 182, 0.3262, 6, 30, 2.0, 1.9667, 1.3257, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'InternationalizationSupport']", 2, 894, 0.034, 332, 0.3714, 9, 30, 2.5, 3, 1.4856, 0.2778
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['Database', 'Docker']", 2, 894, 0.034, 415, 0.4642, 9, 30, 4.0, 4.1, 1.4468, 0.4444
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'Libsass']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 95.0, 94.8, 7.4759, 0.3612, 128, "['SpringWebSockets', 'ClusteredSession']", 2, 0, 0.0, 0, 0, -, -, -, -, -, -
