Runs, Total configs., Total Defective configs., Real Prob. Defect. configs., Percentage, Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Error
30, 26256, 9376, 0.3571, 0.0, 1, 0.0, 0.2667, 0.4498, 0.0, 0.3571
30, 26256, 9376, 0.3571, 0.0004, 10, 4.0, 4, 1.7617, 0.4, 0.0429
30, 26256, 9376, 0.3571, 0.0008, 20, 8.0, 7.5333, 2.3302, 0.4, 0.0429
30, 26256, 9376, 0.3571, 0.0011, 30, 10.0, 10.1333, 2.751, 0.3333, 0.0238
30, 26256, 9376, 0.3571, 0.0015, 40, 14.0, 14.4333, 3.2022, 0.35, 0.0071
30, 26256, 9376, 0.3571, 0.0019, 50, 18.0, 17.8667, 3.5011, 0.36, 0.0029
30, 26256, 9376, 0.3571, 0.0023, 60, 21.5, 21.2333, 4.3919, 0.3583, 0.0012
30, 26256, 9376, 0.3571, 0.0027, 70, 24.5, 24.6333, 3.6434, 0.35, 0.0071
30, 26256, 9376, 0.3571, 0.003, 80, 27.5, 27.8667, 4.2078, 0.3438, 0.0133
30, 26256, 9376, 0.3571, 0.0034, 90, 32.0, 31.2, 4.2783, 0.3556, 0.0015
30, 26256, 9376, 0.3571, 0.0038, 100, 36.0, 36, 4.0343, 0.36, 0.0029
30, 26256, 9376, 0.3571, 0.0042, 110, 37.0, 38.0667, 5.2911, 0.3364, 0.0207
30, 26256, 9376, 0.3571, 0.0046, 120, 43.0, 42.1, 4.7077, 0.3583, 0.0012
30, 26256, 9376, 0.3571, 0.005, 130, 45.5, 45.0333, 5.4424, 0.35, 0.0071
30, 26256, 9376, 0.3571, 0.0053, 140, 50.0, 49.5333, 7.3331, 0.3571, 0.0
30, 26256, 9376, 0.3571, 0.0057, 150, 54.5, 54.1, 6.8044, 0.3633, 0.0062
30, 26256, 9376, 0.3571, 0.0061, 160, 55.5, 56.7, 5.8965, 0.3469, 0.0102
30, 26256, 9376, 0.3571, 0.0065, 170, 58.5, 59.3667, 7.0392, 0.3441, 0.013
30, 26256, 9376, 0.3571, 0.0069, 180, 62.0, 61.9333, 8.1788, 0.3444, 0.0127
30, 26256, 9376, 0.3571, 0.0072, 190, 71.0, 70.6, 4.5151, 0.3737, 0.0166
30, 26256, 9376, 0.3571, 0.0076, 200, 70.5, 71, 6.7569, 0.3525, 0.0046
30, 26256, 9376, 0.3571, 0.008, 210, 74.5, 74.5333, 8.6811, 0.3548, 0.0023
